YEAR,MONTH,MONTH_BY_N,DAY,COUNTRY,STATE,STATECODE,KEY,DISTRICT,TOWN_CITY,VILLAGE,KILLED,INJURED,ARRESTS,DURATION_I,SOURCE,SOURCE_DAT,REPORTED_C,LOCAL_PREC,LINK_MADE_,OFFICIALS,OFFICIALS_,POLICE_VS_,DALIT_MUSL,TYPE_OF_PO,CODING_QUE,PROBABLE_C,RELIABILIT,NOTES
1950,January,1,8,India,Uttar Pradesh,UP,UP195001,Lucknow,Lucknow,,,8,15,1,Times of India,6-Mar-50,Cause Insufficiently Reported,Unknown,,,,,no,,,Yes-Strong Likelihood,4,"“Lucknow, January 9: Eight persons were injured in incidents following a quarrel between two boys and a passer-by in the Aminabad area, Lucknow’s main shopping centre, this afternoon. Some shops were also damaged.  The situation has now been brought under control and armed police are patrolling the area.  About 8p.m., a group of persons attacked a row of shops in Hazratganj, a business centre in the Civil Lines, and smashed show-cases and looted goods. The police rushed to the scene and arrested about 15 persons.”TOI Jan 10, 1950"
1950,January,1,29,India,Maharashtra,MA,MA195001,,Saugor,,1,6,12,1,Times of India,2/2/1950,Animal Slaughter (Cow),Animal Slaughter (Cow),No,,,,no,,,Definite Case,5,It is reported that cow slaughter by some butchers was the cause of this clash.
1950,February,2,8,India,Uttar Pradesh,UP,UP195002,Bareilly,Bareilly,,,,188,1,Times of India,10-Feb-50,Cause Insufficiently Reported,Unknown,,,,,no,,,Yes-Strong Likelihood,4,"“Lucknow, February 9: “Save for a minor incident yesterday afternoon Bareilly has continued to remain quiet, according to official reports received here this evening.”states a communique issued tonight by the sub-committee of the State Press Consultative Committee.  The communique added: “The curfew could not be lifted at ten p.m. last night , but was extended till eight a.m. It was reimposed at 12 noon. Intensive patrolling by the army and the P.A. continued.  Seventy-eight persons were arrested for breach of the curfew yesterday out of whom 70 were convicted. Today 118 people were convicted and ordered to pay fines ranging from Rs.5 to 25 each.  “Among other incidents today was the pulling of the alarm chain of a train at the outer signal of the railway station.”TOI Feb 10, 1950"
1950,February,2,9,India,West Bengal,WB,WB195002,Calcutta,Calcutta,,3,94,125,4,Times of India,"10th,11th, 16th Feb",Previous Violence (Communal),Unknown,,,,,no,,,Definite Case,5,riots in response to attacks on Hs in East Pak2 killed and 38 injured on the 9th1 killed and 56 wounded and 125 arrested on the 10thsituation reported as returning to normal by the 15th.
1950,February,2,,India,Assam,AS,AS195002,Goalpara,,,,,,,,,Cause Insufficiently Reported,Unknown,No,"Chief Minister, Forest Minister, visited areas.",,,no,Military,,Yes-Strong Likelihood,4,There was a sudden and widespread outburst of mass violence in the northern part of the Goalpara district of Assam in the last week of February. Grevious damage was done to the property of members of the minority community before military aid was rushed to the spot. Mass violence noted took the form of setting fire to villages and driving unfortunate victims to railway lines.
1950,March,3,4,India,Uttar Pradesh,UP,UP195003,Aligarh,Aligarh,,6,40,185,2,Times of India,6-Mar-50,Public Rituals\Festivities (Holi),Unknown,,,,,no,,,Definite Case,5,"“Aligarh, March 3: Communal disturbances broke out this evening in some parts of the city when a boy threw coloured water on a passer-by. Curfew has been imposed on the city and armed patrols are moving about.”TOI March 4, 1950“Aligarh, March 5.Five persons were killed and 40 injured in communal disturbances here on Saturday.There were many cases of looting and arson. Houses and shops were set on fire. Two persons travelling by the 139 Up Agra-Delhi Passenger were killed by rioters when the train halted at a signal awaiting clearance of the line.The District Magistrate applied a 24-hour curfew and 125 persons were arrested for breach of the curfew order. About 60 persons were also taken into custody for rioting.”Times of India, March 6, 1950“Lucknow, March 6: The situation in four towns in the Uttar Pradesh State, Aligarh, Moradabad, Pilibhit and Bareilly, was reported to be normal yesterday. There have been no further clashes.”TOI March 7, 1950“Lucknow, March 9: The Uttar Pradesh Government have levied a collective fine of Rs.4,500 on the Hindu and Muslim inhabitants of certain localities in Aligarh as a seuqel to the communal disturbances there during the ‘Holi’ celebrations.Proposals to levy collective fines at Moradabad and Bareilly ehre disturbances occurred last week are under consideration of the State Government.”TOI March 11, 1950“Lucknow, March 15: Mr Lal Bahadur Shastri, Home Minister who returned here after a three-day tour of the Shahjahanpur, Bareilly, and Pilibhit Districts where communal disturbances occurred during the Holi festival, told journalists to-day that the situation was quiet and control.  The Minister revealed that 68 persons, including Muslims and non-Muslims, had been killed in the three districts and at Aligarh and Moradabad. These figures included about a dozen killed in police firing on rioters.  Tracing the origin of the trouble, Mr. Shastri observed that in most cases coloured water was thrown on Muslims, this leading to isolated incidents which spread to other localities.  Mr. Shastri added that local authorities had taken “strong action’ in the affected areas, where about 2,000 persons had been arrested.Bareilly: Dusk-to dawn curfew continues in Bareilly City. the only incident reported was the discovery in the Civil Lines area of the body of a rickshaw puller who was shot dead apparently on Sunday night.”TOI March 17, 1950"
1950,March,3,4,India,Uttar Pradesh,UP,UP195003,Pilibhit,Pilibhit,,,7,200,1,Times of India,6-Mar-50,Public Rituals\Festivities (Holi),Religious Procession,,,,,no,,,Definite Case,5,"“Pilibhit, March 5.Rioting started in the city yesterday, when a Holi procession passing through a ‘mohalla’, was attacked with brickbats, resulting in injury to seven persons. The trouble then spread to other localities. The authorities took prompt action to quell the riots.A few cases of arsons and looting have been reported. Over 200 arrests have been effected and orders under Section 144 C.P.C. has been promulgated for a month. Curfew has been imposed in the town.”Times of India, March 6, 1950“Lucknow, March 6: The situation in four towns in the Uttar Pradesh State, Aligarh, Moradabad, Pilibhit and Bareilly, was reported to be normal yesterday. There have been no further clashes.”TOI March 7, 1950“Lucknow, March 15: Mr Lal Bahadur Shastri, Home Minister who returned here after a three-day tour of the Shahjahanpur, Bareilly, and Pilibhit Districts where communal disturbances occurred during the Holi festival, told journalists to-day that the situation was quiet and control.  The Minister revealed that 68 persons, including Muslims and non-Muslims, had been killed in the three districts and at Aligarh and Moradabad. These figures included about a dozen killed in police firing on rioters.  Tracing the origin of the trouble, Mr. Shastri observed that in most cases coloured water was thrown on Muslims, this leading to isolated incidents which spread to other localities.  Mr. Shastri added that local authorities had taken “strong action’ in the affected areas, where about 2,000 persons had been arrested.Bareilly: Dusk-to dawn curfew continues in Bareilly City. the only incident reported was the discovery in the Civil Lines area of the body of a rickshaw puller who was shot dead apparently on Sunday night.”TOI March 17, 1950"
1950,March,3,4,India,Uttar Pradesh,UP,UP195003,Lucknow,Lucknow,,,,,1,Times of India,6-Mar-50,Public Rituals\Festivities (Holi),Religious Procession,,,,,no,,,Definite Case,5,"“Aligarh, March 5.Five persons were killed and 40 injured in communal disturbances here on Saturday.There were many cases of looting and arson. Houses and shops were set on fire. Two persons travelling by the 139 Up Agra-Delhi Passenger were killed by rioters when the train halted at a signal awaiting clearance of the line.The District Magistrate applied a 24-hour curfew and 125 persons were arrested for breach of the curfew order. About 60 persons were also taken into custody for rioting.”Times of India, March 6, 1950“Lucknow, March 6: The situation in four towns in the Uttar Pradesh State, Aligarh, Moradabad, Pilibhit and Bareilly, was reported to be normal yesterday. There have been no further clashes.”TOI March 7, 1950“Lucknow, March 9: The Uttar Prades Government have levied a collective fine of Rs.4,500 on the Hindu and Muslim inhabitants of certain localities in Aligarh as a seuqel to the communal disturbances there during the ‘Holi’ celebrations.Proposals to levy collective fines at Moradabad and Bareilly ehre disturbances occurred last week are under consideration of the State Government.”TOI March 11, 1950“Lucknow, March 15: Mr Lal Bahadur Shastri, Home Minister who returned here after a three-day tour of the Shahjahanpur, Bareilly, and Pilibhit Districts where communal disturbances occurred during the Holi festival, told journalists to-day that the situation was quiet and control.  The Minister revealed that 68 persons, including Muslims and non-Muslims, had been killed in the three districts and at Aligarh and Moradabad. These figures included about a dozen killed in police firing on rioters.  Tracing the origin of the trouble, Mr. Shastri observed that in most cases coloured water was thrown on Muslims, this leading to isolated incidents which spread to other localities.  Mr. Shastri added that local authorities had taken “strong action’ in the affected areas, where about 2,000 persons had been arrested.Bareilly: Dusk-to dawn curfew continues in Bareilly City. the only incident reported was the discovery in the Civil Lines area of the body of a rickshaw puller who was shot dead apparently on Sunday night.”TOI March 17, 1950"
1950,March,3,4,India,Uttar Pradesh,UP,UP195003,Bareilly,Bareilly,,5,35,600,1,Times of India,"March 6,9 1950",Public Rituals\Festivities (Holi),Religious Procession,,,,,no,,,Definite Case,5,"“Lucknow, March 6: The situation in four towns in the Uttar Pradesh State, Aligarh, Moradabad, Pilibhit and Bareilly, was reported to be normal yesterday. There have been no further clashes.”TOI March 7, 1950“Bareilly, March 10: There was renewed tension in the city yesterday when four people were killed in an incident in the Kalibari area. Police carried out extensive house searches and arrested 35 persons. Heavy police patrolling continues. The total number of arrests so far for violation of curfew in the city is about 600.”TOI March 11, 1950“Lucknow, March 15: Mr Lal Bahadur Shastri, Home Minister who returned here after a three-day tour of the Shahjahanpur, Bareilly, and Pilibhit Districts where communal disturbances occurred during the Holi festival, told journalists to-day that the situation was quiet and control.  The Minister revealed that 68 persons, including Muslims and non-Muslims, had been killed in the three districts and at Aligarh and Moradabad. These figures included about a dozen killed in police firing on rioters.  Tracing the origin of the trouble, Mr. Shastri observed that in most cases coloured water was thrown on Muslims, this leading to isolated incidents which spread to other localities.  Mr. Shastri added that local authorities had taken “strong action’ in the affected areas, where about 2,000 persons had been arrested.Bareilly: Dusk-to dawn curfew continues in Bareilly City. the only incident reported was the discovery in the Civil Lines area of the body of a rickshaw puller who was shot dead apparently on Sunday night.”TOI March 17, 1950"
1950,March,3,4,India,Uttar Pradesh,UP,UP195003,Aligarh,Aligarh,,7,40,125,2,Times of India,6-Mar-50,Public Rituals\Festivities (Holi),Unknown,,,,,no,,,Definite Case,5,"“Aligarh, March 3: Communal disturbances broke out this evening in some parts of the city when a boy threw coloured water on a passer-by. Curfew has been imposed on the city and armed patrols are moving about.”TOI March 4, 1950“Aligarh, March 5.Five persons were killed and 40 injured in communal disturbances here on Saturday.There were many cases of looting and arson. Houses and shops were set on fire. Two persons travelling by the 139 Up Agra-Delhi Passenger were killed by rioters when the train halted at a signal awaiting clearance of the line.The District Magistrate applied a 24-hour curfew and 125 persons were arrested for breach of the curfew order. About 60 persons were also taken into custody for rioting.”Times of India, March 6, 1950“Lucknow, March 6: The situation in four towns in the Uttar Pradesh State, Aligarh, Moradabad, Pilibhit and Bareilly, was reported to be normal yesterday. There have been no further clashes.”TOI March 7, 1950“Lucknow, March 9: The Uttar Pradesh Government have levied a collective fine of Rs.4,500 on the Hindu and Muslim inhabitants of certain localities in Aligarh as a seuqel to the communal disturbances there during the ‘Holi’ celebrations.Proposals to levy collective fines at Moradabad and Bareilly ehre disturbances occurred last week are under consideration of the State Government.”TOI March 11, 1950“Lucknow, March 15: Mr Lal Bahadur Shastri, Home Minister who returned here after a three-day tour of the Shahjahanpur, Bareilly, and Pilibhit Districts where communal disturbances occurred during the Holi festival, told journalists to-day that the situation was quiet and control.  The Minister revealed that 68 persons, including Muslims and non-Muslims, had been killed in the three districts and at Aligarh and Moradabad. These figures included about a dozen killed in police firing on rioters.  Tracing the origin of the trouble, Mr. Shastri observed that in most cases coloured water was thrown on Muslims, this leading to isolated incidents which spread to other localities.  Mr. Shastri added that local authorities had taken “strong action’ in the affected areas, where about 2,000 persons had been arrested.Bareilly: Dusk-to dawn curfew continues in Bareilly City. the only incident reported was the discovery in the Civil Lines area of the body of a rickshaw puller who was shot dead apparently on Sunday night.”TOI March 17, 1950"
